Signals=time	schematic1.osc	schematic1.direccion	schematic1.eprom_insreg	schematic1.insreg_deco	schematic1.deco_alu	schematic1.constate_mux	schematic1.entrada_b	schematic1.entrada_alu	schematic1.wreg_alu	schematic1.ir_addmux_direct	schematic1.bus_datos	schematic1.alu_status	schematic1.bit_opera	schematic1.n05060	schematic1.n02391	schematic1.n02384	schematic1.n10878	schematic1.n20956	schematic1.n10838
Radix=ns	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex	Hex
Type	IN	IN	I/O	I/O	I/O	I/O	IN	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O	I/O
Width	1	13	14	7	5	8	8	8	8	7	8	3	3	1	1	1	1	1	1
       570	'1'	0008	0400	08	12	00	0F	0F	0E	00	10	X	2	'1'	'0'	'0'	'0'	'0'	'1'
       580	'0'	0008	0400	08	12	00	0F	0F	0E	00	10	X	2	'1'	'0'	'0'	'0'	'0'	'1'
       590	'1'	0008	0400	08	12	00	0F	0F	10	00	10	X	2	'0'	'1'	'0'	'0'	'0'	'1'
       600	'0'	0008	0400	08	12	00	0F	0F	10	00	10	X	2	'0'	'1'	'0'	'0'	'0'	'1'
       610	'1'	0008	0400	08	12	00	0F	0F	10	00	10	X	2	'0'	'0'	'1'	'0'	'0'	'1'
       620	'0'	0008	0400	08	12	00	0F	0F	10	00	10	X	2	'0'	'0'	'1'	'0'	'0'	'1'
       630	'1'	0008	0400	08	12	00	0F	0F	10	00	10	X	2	'0'	'0'	'0'	'1'	'0'	'1'
       640	'0'	0009	0400	08	12	00	0F	0F	10	00	10	X	2	'0'	'0'	'0'	'1'	'0'	'1'
       650	'1'	0009	0800	10	07	00	0F	0F	10	00	10	X	4	'1'	'0'	'0'	'0'	'0'	'1'
       660	'0'	0009	0800	10	07	00	0F	0F	10	00	10	X	4	'1'	'0'	'0'	'0'	'0'	'1'
       670	'1'	0009	0800	10	07	00	0F	0F	10	00	10	X	4	'0'	'1'	'0'	'0'	'0'	'1'
       680	'0'	0009	0800	10	07	00	0F	0F	10	00	10	X	4	'0'	'1'	'0'	'0'	'0'	'1'
       690	'1'	0009	0800	10	07	00	0F	0F	10	00	1F	X	4	'0'	'0'	'1'	'0'	'0'	'1'
       700	'0'	0009	0800	10	07	00	0F	0F	10	00	1F	X	4	'0'	'0'	'1'	'0'	'0'	'1'
       710	'1'	0009	0800	10	07	00	0F	0F	10	00	1F	X	4	'0'	'0'	'0'	'1'	'0'	'1'
       720	'0'	000A	0800	10	07	00	0F	0F	10	00	1F	X	4	'0'	'0'	'0'	'1'	'0'	'1'
       730	'1'	000A	0080	01	0B	80	0F	0F	10	00	1F	X	0	'1'	'0'	'0'	'0'	'0'	'1'
       740	'0'	000A	0080	01	0B	80	0F	0F	10	00	1F	X	0	'1'	'0'	'0'	'0'	'0'	'1'
       750	'1'	000A	0080	01	0B	80	0F	0F	1F	00	1F	X	0	'0'	'1'	'0'	'0'	'0'	'1'
       760	'0'	000A	0080	01	0B	80	0F	0F	1F	00	1F	X	0	'0'	'1'	'0'	'0'	'0'	'1'
       770	'1'	000A	0080	01	0B	80	0F	0F	1F	00	0F	X	0	'0'	'0'	'1'	'0'	'0'	'1'
       780	'0'	000A	0080	01	0B	80	0F	0F	1F	00	0F	X	0	'0'	'0'	'1'	'0'	'0'	'1'
       790	'1'	000A	0080	01	0B	80	0F	0F	1F	00	0F	X	0	'0'	'0'	'0'	'1'	'0'	'1'
       800	'0'	000B	0080	01	0B	80	0F	0F	1F	00	0F	X	0	'0'	'0'	'0'	'1'	'0'	'1'
       810	'1'	000B	0000	00	02	00	0F	0F	1F	00	0F	X	0	'1'	'0'	'0'	'0'	'0'	'1'
       820	'0'	000B	0000	00	02	00	0F	0F	1F	00	0F	X	0	'1'	'0'	'0'	'0'	'0'	'1'
       830	'1'	000B	0000	00	02	00	0F	0F	0F	00	0F	X	0	'0'	'1'	'0'	'0'	'0'	'1'
       840	'0'	000B	0000	00	02	00	0F	0F	0F	00	0F	X	0	'0'	'1'	'0'	'0'	'0'	'1'
       850	'1'	000B	0000	00	02	00	0F	0F	0F	00	0F	X	0	'0'	'0'	'1'	'0'	'0'	'1'
       860	'0'	000B	0000	00	02	00	0F	0F	0F	00	0F	X	0	'0'	'0'	'1'	'0'	'0'	'1'
       870	'1'	000B	0000	00	02	00	0F	0F	0F	00	0F	X	0	'0'	'0'	'0'	'1'	'0'	'1'
       880	'0'	000C	0000	00	02	00	0F	0F	0F	00	0F	X	0	'0'	'0'	'0'	'1'	'0'	'1'
       890	'1'	000C	0D00	1A	01	00	0F	0F	0F	00	0F	X	6	'1'	'0'	'0'	'0'	'0'	'0'
       900	'0'	000C	0D00	1A	01	00	0F	0F	0F	00	0F	X	6	'1'	'0'	'0'	'0'	'0'	'0'
       910	'1'	000C	0D00	1A	01	00	0F	0F	0F	00	0F	X	6	'0'	'1'	'0'	'0'	'0'	'0'
       920	'0'	000C	0D00	1A	01	00	0F	0F	0F	00	0F	X	6	'0'	'1'	'0'	'0'	'0'	'0'
       930	'1'	000C	0D00	1A	01	00	0F	0F	0F	00	0F	X	6	'0'	'0'	'1'	'0'	'0'	'0'
       940	'0'	000C	0D00	1A	01	00	0F	0F	0F	00	0F	X	6	'0'	'0'	'1'	'0'	'0'	'0'
       950	'1'	000C	0D00	1A	01	00	0F	0F	0F	00	0F	X	6	'0'	'0'	'0'	'1'	'0'	'0'
       960	'0'	000D	0D00	1A	01	00	0F	0F	0F	00	0F	X	6	'0'	'0'	'0'	'1'	'0'	'0'
       970	'1'	000D	0C00	18	10	00	0F	0F	0F	00	0F	X	6	'1'	'0'	'0'	'0'	'0'	'1'
       980	'0'	000D	0C00	18	10	00	0F	0F	0F	00	0F	X	6	'1'	'0'	'0'	'0'	'0'	'1'
       990	'1'	000D	0C00	18	10	00	0F	0F	0F	00	0F	X	6	'0'	'1'	'0'	'0'	'0'	'1'
      1000	'0'	000D	0C00	18	10	00	0F	0F	0F	00	0F	X	6	'0'	'1'	'0'	'0'	'0'	'1'
      1010	'1'	000D	0C00	18	10	00	0F	0F	0F	00	1E	X	6	'0'	'0'	'1'	'0'	'0'	'1'
      1020	'0'	000D	0C00	18	10	00	0F	0F	0F	00	1E	X	6	'0'	'0'	'1'	'0'	'0'	'1'
      1030	'1'	000D	0C00	18	10	00	0F	0F	0F	00	1E	X	6	'0'	'0'	'0'	'1'	'0'	'1'
      1040	'0'	000E	0C00	18	10	00	0F	0F	0F	00	1E	X	6	'0'	'0'	'0'	'1'	'0'	'1'
      1050	'1'	000E	0200	04	0F	00	0F	0F	0F	00	1E	X	1	'1'	'0'	'0'	'0'	'0'	'1'
      1060	'0'	000E	0200	04	0F	00	0F	0F	0F	00	1E	X	1	'1'	'0'	'0'	'0'	'0'	'1'
      1070	'1'	000E	0200	04	0F	00	0F	0F	1E	00	1E	X	1	'0'	'1'	'0'	'0'	'0'	'1'
      1080	'0'	000E	0200	04	0F	00	0F	0F	1E	00	1E	X	1	'0'	'1'	'0'	'0'	'0'	'1'
      1090	'1'	000E	0200	04	0F	00	0F	0F	1E	00	87	X	1	'0'	'0'	'1'	'0'	'0'	'1'
      1100	'0'	000E	0200	04	0F	00	0F	0F	1E	00	87	X	1	'0'	'0'	'1'	'0'	'0'	'1'
      1110	'1'	000E	0200	04	0F	00	0F	0F	1E	00	87	X	1	'0'	'0'	'0'	'1'	'0'	'1'
      1120	'0'	000F	0200	04	0F	00	0F	0F	1E	00	87	X	1	'0'	'0'	'0'	'1'	'0'	'1'
      1130	'1'	000F	0E00	1C	05	00	0F	0F	1E	00	87	X	7	'1'	'0'	'0'	'0'	'0'	'1'
      1140	'0'	000F	0E00	1C	05	00	0F	0F	1E	00	87	X	7	'1'	'0'	'0'	'0'	'0'	'1'
      1150	'1'	000F	0E00	1C	05	00	0F	0F	87	00	87	X	7	'0'	'1'	'0'	'0'	'0'	'1'
      1160	'0'	000F	0E00	1C	05	00	0F	0F	87	00	87	X	7	'0'	'1'	'0'	'0'	'0'	'1'
      1170	'1'	000F	0E00	1C	05	00	0F	0F	87	00	78	X	7	'0'	'0'	'1'	'0'	'0'	'1'
      1180	'0'	000F	0E00	1C	05	00	0F	0F	87	00	78	X	7	'0'	'0'	'1'	'0'	'0'	'1'
      1190	'1'	000F	0E00	1C	05	00	0F	0F	87	00	78	X	7	'0'	'0'	'0'	'1'	'0'	'1'
      1200	'0'	0010	0E00	1C	05	00	0F	0F	87	00	78	X	7	'0'	'0'	'0'	'1'	'0'	'1'
      1210	'1'	0010	0600	0C	11	00	0F	0F	87	00	78	X	3	'1'	'0'	'0'	'0'	'0'	'1'
      1220	'0'	0010	0600	0C	11	00	0F	0F	87	00	78	X	3	'1'	'0'	'0'	'0'	'0'	'1'
      1230	'1'	0010	0600	0C	11	00	0F	0F	78	00	78	X	3	'0'	'1'	'0'	'0'	'0'	'1'
      1240	'0'	0010	0600	0C	11	00	0F	0F	78	00	78	X	3	'0'	'1'	'0'	'0'	'0'	'1'
      1250	'1'	0010	0600	0C	11	00	0F	0F	78	00	F0	X	3	'0'	'0'	'1'	'0'	'0'	'1'
      1260	'0'	0010	0600	0C	11	00	0F	0F	78	00	F0	X	3	'0'	'0'	'1'	'0'	'0'	'1'
      1270	'1'	0010	0600	0C	11	00	0F	0F	78	00	F0	X	3	'0'	'0'	'0'	'1'	'0'	'1'
      1280	'0'	0011	0600	0C	11	00	0F	0F	78	00	F0	X	3	'0'	'0'	'0'	'1'	'0'	'1'
      1290	'1'	0011	1000	20	09	00	0F	0F	78	00	F0	X	0	'1'	'0'	'0'	'0'	'0'	'1'
      1300	'0'	0011	1000	20	09	00	0F	0F	78	00	F0	X	0	'1'	'0'	'0'	'0'	'0'	'1'
      1310	'1'	0011	1000	20	09	00	0F	0F	F0	00	F0	X	0	'0'	'1'	'0'	'0'	'0'	'1'
      1320	'0'	0011	1000	20	09	00	0F	0F	F0	00	F0	X	0	'0'	'1'	'0'	'0'	'0'	'1'
      1330	'1'	0011	1000	20	09	00	0F	0F	F0	00	FF	X	0	'0'	'0'	'1'	'0'	'0'	'1'
      1340	'0'	0011	1000	20	09	00	0F	0F	F0	00	FF	X	0	'0'	'0'	'1'	'0'	'0'	'1'
      1350	'1'	0011	1000	20	09	00	0F	0F	F0	00	FF	X	0	'0'	'0'	'0'	'1'	'0'	'1'
      1360	'0'	0012	1000	20	09	00	0F	0F	F0	00	FF	X	0	'0'	'0'	'0'	'1'	'0'	'1'
      1370	'1'	0012	1400	28	13	00	0F	0F	F0	00	FF	X	2	'1'	'0'	'0'	'0'	'0'	'1'
      1380	'0'	0012	1400	28	13	00	0F	0F	F0	00	FF	X	2	'1'	'0'	'0'	'0'	'0'	'1'
      1390	'1'	0012	1400	28	13	00	0F	0F	FF	00	FF	X	2	'0'	'1'	'0'	'0'	'0'	'1'
      1400	'0'	0012	1400	28	13	00	0F	0F	FF	00	FF	X	2	'0'	'1'	'0'	'0'	'0'	'1'
      1410	'1'	0012	1400	28	13	00	0F	0F	FF	00	0F	X	2	'0'	'0'	'1'	'0'	'0'	'1'
      1420	'0'	0012	1400	28	13	00	0F	0F	FF	00	0F	X	2	'0'	'0'	'1'	'0'	'0'	'1'
      1430	'1'	0012	1400	28	13	00	0F	0F	FF	00	0F	X	2	'0'	'0'	'0'	'1'	'0'	'1'
      1440	'0'	0013	1400	28	13	00	0F	0F	FF	00	0F	X	2	'0'	'0'	'0'	'1'	'0'	'1'
      1450	'1'	0013	1000	20	14	00	0F	0F	FF	00	0F	X	0	'1'	'0'	'0'	'0'	'0'	'1'
      1460	'0'	0013	1000	20	14	00	0F	0F	FF	00	0F	X	0	'1'	'0'	'0'	'0'	'0'	'1'
      1470	'1'	0013	1000	20	14	00	0F	0F	0F	00	0F	X	0	'0'	'1'	'0'	'0'	'0'	'1'
      1480	'0'	0013	1000	20	14	00	0F	0F	0F	00	0F	X	0	'0'	'1'	'0'	'0'	'0'	'1'
      1490	'1'	0013	1000	20	14	00	0F	0F	0F	00	0F	X	0	'0'	'0'	'1'	'0'	'0'	'1'
      1500	'0'	0013	1000	20	14	00	0F	0F	0F	00	0F	X	0	'0'	'0'	'1'	'0'	'0'	'1'
      1510	'1'	0013	1000	20	14	00	0F	0F	0F	00	0F	X	0	'0'	'0'	'0'	'1'	'0'	'1'
      1520	'0'	0014	1000	20	14	00	0F	0F	0F	00	0F	X	0	'0'	'0'	'0'	'1'	'0'	'1'
      1530	'1'	0014	1800	30	13	00	0F	0F	0F	00	0F	X	4	'1'	'0'	'0'	'0'	'0'	'1'
      1540	'0'	0014	1800	30	13	00	0F	0F	0F	00	0F	X	4	'1'	'0'	'0'	'0'	'0'	'1'
      1550	'1'	0014	1800	30	13	00	0F	0F	0F	00	0F	X	4	'0'	'1'	'0'	'0'	'0'	'1'
      1560	'0'	0014	1800	30	13	00	0F	0F	0F	00	0F	X	4	'0'	'1'	'0'	'0'	'0'	'1'
      1570	'1'	0014	1800	30	13	00	0F	0F	0F	00	0F	X	4	'0'	'0'	'1'	'0'	'0'	'1'
      1580	'0'	0014	1800	30	13	00	0F	0F	0F	00	0F	X	4	'0'	'0'	'1'	'0'	'0'	'1'
      1590	'1'	0014	1800	30	13	00	0F	0F	0F	00	0F	X	4	'0'	'0'	'0'	'1'	'0'	'1'
      1600	'0'	0015	1800	30	13	00	0F	0F	0F	00	0F	X	4	'0'	'0'	'0'	'1'	'0'	'1'
      1610	'1'	0015	1C00	38	15	00	0F	0F	0F	00	0F	X	6	'1'	'0'	'0'	'0'	'0'	'1'
      1620	'0'	0015	1C00	38	15	00	0F	0F	0F	00	0F	X	6	'1'	'0'	'0'	'0'	'0'	'1'
      1630	'1'	0015	1C00	38	15	00	0F	0F	0F	00	0F	X	6	'0'	'1'	'0'	'0'	'0'	'1'
      1640	'0'	0015	1C00	38	15	00	0F	0F	0F	00	0F	X	6	'0'	'1'	'0'	'0'	'0'	'1'
      1650	'1'	0015	1C00	38	15	00	0F	0F	0F	00	10	X	6	'0'	'0'	'1'	'0'	'0'	'1'
      1660	'0'	0015	1C00	38	15	00	0F	0F	0F	00	10	X	6	'0'	'0'	'1'	'0'	'0'	'1'
      1670	'1'	0015	1C00	38	15	00	0F	0F	0F	00	10	X	6	'0'	'0'	'0'	'1'	'0'	'1'
      1680	'0'	0016	1C00	38	15	00	0F	0F	0F	00	10	X	6	'0'	'0'	'0'	'1'	'0'	'1'
      1690	'1'	0016	3E00	7C	16	00	0F	0F	0F	00	10	X	7	'1'	'0'	'0'	'0'	'0'	'1'
      1700	'0'	0016	3E00	7C	16	00	0F	0F	0F	00	10	X	7	'1'	'0'	'0'	'0'	'0'	'1'
      1710	'1'	0016	3E00	7C	16	00	0F	0F	10	00	10	X	7	'0'	'1'	'0'	'0'	'0'	'1'
      1720	'0'	0016	3E00	7C	16	00	0F	0F	10	00	10	X	7	'0'	'1'	'0'	'0'	'0'	'1'
      1730	'1'	0016	3E00	7C	16	00	0F	0F	10	00	10	X	7	'0'	'0'	'1'	'0'	'0'	'1'
      1740	'0'	0016	3E00	7C	16	00	0F	0F	10	00	10	X	7	'0'	'0'	'1'	'0'	'0'	'1'
      1750	'1'	0016	3E00	7C	16	00	0F	0F	10	00	10	X	7	'0'	'0'	'0'	'1'	'0'	'1'
      1760	'0'	0017	3E00	7C	16	00	0F	0F	10	00	10	X	7	'0'	'0'	'0'	'1'	'0'	'1'
      1770	'1'	0017	3900	72	19	00	0F	0F	10	00	10	X	4	'1'	'0'	'0'	'0'	'1'	'0'
      1780	'0'	0017	3900	72	19	00	0F	0F	10	00	10	X	4	'1'	'0'	'0'	'0'	'1'	'0'
      1790	'1'	0017	3900	72	19	00	0F	0F	10	00	10	X	4	'0'	'1'	'0'	'0'	'1'	'0'
      1800	'0'	0017	3900	72	19	00	0F	0F	10	00	10	X	4	'0'	'1'	'0'	'0'	'1'	'0'
      1810	'1'	0017	3900	72	19	00	0F	00	10	00	1F	X	4	'0'	'0'	'1'	'0'	'1'	'0'
      1820	'0'	0017	3900	72	19	00	0F	00	10	00	1F	X	4	'0'	'0'	'1'	'0'	'1'	'0'
      1830	'1'	0017	3900	72	19	00	0F	00	10	00	10	X	4	'0'	'0'	'0'	'1'	'1'	'0'
      1840	'0'	0018	3900	72	19	00	0F	00	10	00	10	X	4	'0'	'0'	'0'	'1'	'1'	'0'
      1850	'1'	0018	2000	40	1C	00	0F	00	10	00	10	X	0	'1'	'0'	'0'	'0'	'1'	'0'
      1860	'0'	0018	2000	40	1C	00	0F	00	10	00	10	X	0	'1'	'0'	'0'	'0'	'1'	'0'
      1870	'1'	0018	2000	40	1C	00	0F	00	10	00	10	X	0	'0'	'1'	'0'	'0'	'1'	'0'
      1880	'0'	0018	2000	40	1C	00	0F	00	10	00	10	X	0	'0'	'1'	'0'	'0'	'1'	'0'
      1890	'1'	0018	2000	40	1C	00	0F	00	10	00	10	X	0	'0'	'0'	'1'	'0'	'1'	'0'
      1900	'0'	0018	2000	40	1C	00	0F	00	10	00	10	X	0	'0'	'0'	'1'	'0'	'1'	'0'
      1910	'1'	0018	2000	40	1C	00	0F	00	10	00	10	X	0	'0'	'0'	'0'	'1'	'1'	'0'
      1920	'0'	0019	2000	40	1C	00	0F	00	10	00	10	X	0	'0'	'0'	'0'	'1'	'1'	'0'
      1930	'1'	0019	0064	00	17	64	0F	00	10	64	10	X	0	'1'	'0'	'0'	'0'	'1'	'0'
      1940	'0'	0019	0064	00	17	64	0F	00	10	64	10	X	0	'1'	'0'	'0'	'0'	'1'	'0'
      1950	'1'	0019	0064	00	17	64	0F	00	10	64	10	X	0	'0'	'1'	'0'	'0'	'1'	'0'
      1960	'0'	0019	0064	00	17	64	0F	00	10	64	10	X	0	'0'	'1'	'0'	'0'	'1'	'0'
      1970	'1'	0019	0064	00	17	64	0F	64	10	64	10	X	0	'0'	'0'	'1'	'0'	'1'	'0'
      1980	'0'	0019	0064	00	17	64	0F	64	10	64	10	X	0	'0'	'0'	'1'	'0'	'1'	'0'
      1990	'1'	0019	0064	00	17	64	0F	64	10	64	10	X	0	'0'	'0'	'0'	'1'	'1'	'0'
      2000	'0'	001A	0064	00	17	64	0F	64	10	64	10	X	0	'0'	'0'	'0'	'1'	'1'	'0'
      2010	'1'	001A	2800	50	01	00	0F	64	10	00	10	X	4	'1'	'0'	'0'	'0'	'0'	'0'
      2020	'0'	001A	2800	50	01	00	0F	64	10	00	10	X	4	'1'	'0'	'0'	'0'	'0'	'0'
      2030	'1'	001A	2800	50	01	00	0F	64	10	00	10	X	4	'0'	'1'	'0'	'0'	'0'	'0'
      2040	'0'	001A	2800	50	01	00	0F	64	10	00	10	X	4	'0'	'1'	'0'	'0'	'0'	'0'
      2050	'1'	001A	2800	50	01	00	0F	0F	10	00	10	X	4	'0'	'0'	'1'	'0'	'0'	'0'
      2060	'0'	001A	2800	50	01	00	0F	0F	10	00	10	X	4	'0'	'0'	'1'	'0'	'0'	'0'
      2070	'1'	001A	2800	50	01	00	0F	0F	10	00	10	X	4	'0'	'0'	'0'	'1'	'0'	'0'
